mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,zcr,rmse,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tempo,label
-119.5846558,84.92394257,13.50993633,23.30992126,13.71238613,7.272298813,6.884331703,2.82332921,1.332841873,3.821597576,3.532557249,2.107033253,6.537527084,0.084253324,0.150520027,2256.15166,2716.966549,5241.90876,17.0596036,15.65060522,20.67042216,19.23200139,20.05949764,18.52177889,16.00135136,0.418755978,0.274347663,0.402676821,0.376813352,0.255623668,0.293390661,0.254744411,0.39918834,0.253162324,0.259347796,0.352019817,0.296714127,24.82305145,10.53451347,7.360990524,1.943916082,1.772650242,1.360527039,0.93527627,0.695015907,0.532193244,0.2280007,0.070206366,0.044128258,0.03368932,-0.056621057,0.160382476,0.064975659,0.008871184,0.005755522,0.012268818,107.6660156,songs
-120.0999222,92.12071991,1.535638809,14.12272835,2.734674931,-0.57374084,2.954256058,-3.697390795,0.883751392,-0.528568566,-4.241671562,-2.816738367,-3.238127708,0.082496919,0.183167651,1979.368663,2194.395444,4172.368354,18.67542233,14.65502732,18.25802576,19.24241655,18.4817023,18.2605852,15.61145598,0.341193557,0.249443695,0.232754961,0.41502139,0.239043981,0.284292221,0.177988783,0.278024107,0.431626529,0.261732668,0.392656147,0.243156701,37.91132736,18.63264465,10.48461819,17.1197052,7.653371811,3.718302965,2.315711975,1.077365518,0.751540959,0.405459166,0.224917427,0.140646502,0.107125029,-0.207877341,0.083325712,-3.42E-05,0.068996964,-0.020056994,-0.000566088,95.703125,songs
-119.1547089,104.091568,1.188712358,20.08627892,9.018761635,6.22837925,4.50356102,-0.023536108,0.614505708,3.508150101,-1.572723866,-1.168537617,-1.670226455,0.062557494,0.204195336,1781.660487,2240.090905,3714.394544,20.09953807,18.39773812,21.04451442,20.15648854,20.13566035,19.53813882,16.86939999,0.252534389,0.242818415,0.392997712,0.361729622,0.277108163,0.365160763,0.212690324,0.242384762,0.210994616,0.352239132,0.425153404,0.244258091,59.29806137,20.63367462,11.52147675,7.288434982,5.234176159,4.386372089,1.841131568,0.884724081,0.549397588,0.202359721,0.068247214,0.04790711,0.033211205,-0.12278952,0.194935596,-0.008122283,-0.114635555,-0.001464477,0.012477088,129.1992188,songs
-149.5709534,116.229866,17.48331642,12.28399181,11.18046761,2.966640472,5.118458748,-1.125668287,-6.706055641,4.13548708,3.571603775,2.909615278,-4.47238493,0.063071685,0.156918347,1708.217707,2235.155614,3747.076304,19.18141791,16.71258045,20.48755284,20.22859816,19.77117153,18.69795653,15.99597874,0.343560576,0.313039064,0.235659882,0.416718423,0.309374183,0.496894866,0.251751453,0.21419777,0.286865205,0.223751411,0.275148571,0.198501483,37.04548264,15.5059309,14.082654,4.01320982,4.321210861,2.726881504,0.479643166,0.340169758,0.174212202,0.084684707,0.02339177,0.025465716,0.025337478,-0.293521973,0.103160342,-0.064688051,0.041941738,-0.029770486,0.009194129,103.359375,songs
-107.3101349,79.37016296,6.551659584,-3.0316782,-8.72964859,-8.600214958,-2.980774164,-13.25086021,-5.098200321,-5.379001141,-3.720208406,4.623154163,1.234860539,0.098123263,0.195370123,2370.928729,2581.917034,5261.253637,16.68391332,14.88893559,18.43211131,17.91768943,17.73961839,17.87826111,15.64948483,0.391167164,0.336291701,0.462368369,0.397381574,0.256962687,0.249506459,0.236637056,0.310315222,0.270467639,0.236630291,0.269859105,0.284079224,39.07611847,43.61864471,27.10375595,10.15503025,6.705026627,2.338318825,1.16110003,0.563438773,0.514965475,0.602021337,0.234460637,0.16773282,0.148715422,0.012374194,0.100628012,0.008477203,-0.030442506,-0.007886794,0.006456371,161.4990234,songs
-100.3778076,88.252388,9.234022141,22.682827,10.26366138,1.090649366,5.311111927,2.650824547,0.279515296,1.52021575,0.023874722,1.174644947,0.067023702,0.077034781,0.204293579,2063.490532,2473.449196,4621.288155,19.62833284,15.14721073,19.97342376,19.34672464,19.31133599,18.79953731,16.25047773,0.278957576,0.334542483,0.223733574,0.301315337,0.362763673,0.275207877,0.451769054,0.25380975,0.307457656,0.335551441,0.308792651,0.402656347,55.87857819,18.02626801,12.09512806,6.09595108,3.544502735,2.092647791,1.522977948,0.933168232,0.576714873,0.281792492,0.107675269,0.061054278,0.052500881,0.02709429,-0.149519943,0.002781503,-0.019599281,0.007061098,0.016431265,103.359375,songs
-51.54641724,110.2831116,1.721577287,21.999897,11.55355835,2.883531332,0.637339234,0.505873561,-2.50372982,-1.419766307,-3.960172653,-1.449282169,-3.417492628,0.069912591,0.319226503,1809.750414,2303.815598,3801.511309,20.88152791,18.79637594,22.97809777,21.32331251,21.50957193,20.13411445,17.05544818,0.24520123,0.216931075,0.406479359,0.196463391,0.16561915,0.121155083,0.248933807,0.414777577,0.242420331,0.351408213,0.205456182,0.331920266,118.2255554,107.400032,43.69446945,26.1819191,12.76789951,8.96453476,4.332945347,1.837479115,0.926065803,0.307140917,0.114344858,0.074612588,0.051854964,0.299724517,0.178925635,0.149793686,-0.033293292,-0.000347848,-0.011257238,117.4538352,songs
-60.77336121,101.2772522,8.685667038,18.79628372,7.700130939,-1.853636861,-2.701175451,1.796564817,-9.28484726,1.334718466,-2.845441103,-2.644479036,-1.9009341,0.070952456,0.258813381,2087.129742,2533.611711,4717.281574,20.72896672,16.23876183,19.62297147,19.26590631,19.08251509,19.06280964,17.38273258,0.525661886,0.247407645,0.224194571,0.198726773,0.353636503,0.536716759,0.337539881,0.410907149,0.340703964,0.419280618,0.263275474,0.274443954,85.60719299,38.34346771,15.79664326,7.131984711,4.5305233,3.433035612,1.917882681,1.370110393,0.683684528,0.27467078,0.190039724,0.169479758,0.096045449,0.021609479,0.187267773,-0.103627387,0.08413535,-0.024240261,0.01174812,123.046875,songs
-82.91649628,97.62345886,25.76442719,18.37354469,19.60994911,1.570755124,1.280210614,1.856302381,-0.868234396,-2.866874456,-4.873271942,-3.580492496,-2.165667295,0.07890972,0.218176022,2227.814776,2834.640563,5261.840847,17.48262412,16.1014385,20.22515002,19.97200633,19.59251057,18.00386366,16.10630251,0.305134624,0.49543792,0.34816736,0.272951365,0.327388078,0.299176395,0.400827497,0.267059505,0.379118145,0.442894459,0.319484502,0.36510101,80.35089111,26.14615631,10.67592525,6.240640163,3.499094486,2.101145267,1.289347291,0.681124389,0.294146389,0.140030235,0.162999853,0.166166171,0.133790419,-0.001794122,-0.096900384,-0.110121495,-0.006476552,0.0009314,0.006135385,99.38401442,songs
-57.50548935,66.91984558,33.00702286,28.00827026,21.6568737,8.703575134,4.434438705,5.470942497,-2.382086754,2.206629276,-0.675415039,-1.393309832,2.887634516,0.07669473,0.372537524,2630.571625,3022.975226,6328.938779,20.21874123,16.769996,19.89925239,18.38114684,18.75868379,17.49907551,16.41085435,0.370609671,0.31080085,0.379880667,0.257240623,0.235931247,0.246511027,0.283748358,0.397977561,0.3393884,0.398467958,0.374226749,0.312789291,182.7944336,42.27555466,13.17464828,3.682830334,5.486606121,10.25930595,4.477365971,1.870500565,1.053528666,0.455331802,0.400481969,0.629300714,0.417553335,0.048582459,0.145928543,0.001468835,-0.057509957,0.0037602,0.003386365,123.046875,songs
